"anstrengend","vermoeiend"
"der Auftrag","de opdracht"
"die Ausdauer","het uithuidingsvermogen"
"ausreichend","voldoende"
"beachten","letten op"
"bevorzugen","de voorkeur geven aan"
"die Erlaubnis","de toestemming"
"Der Fakt","het feit"
"sich fürchten vor","vrezen voor"
"hervorheben","benadrukken"
"Der Ruf","de reputatie"
"schätzen","waarderen"
"schlicht","eenvoudig"
"schließlich","ten slotte"
"üblich","gebruikelijk"
"umziehen","verhuizen"
"verletzen","kwetsen"
"die Voraussetzung","de voorwaarde"
