ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode,Boek
1,beliebt,populair,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
2,das Bundesland,de deelstaat,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
3,der Familienname,de achternaam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
4,die Hauptstadt,de hoofdstad,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
5,immer,altijd,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
6,jedes Jahr,elk jaar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
7,jetzt,nu,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
8,schön,mooi,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
9,toll,leuk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
10,der Vorname,de voornaam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
11,wichtig,belangrijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
12,zeigen,laten zien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
13,auch,ook,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
14,dürfen,mogen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
15,langweilig,saai,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
16,manchmal,soms,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
17,oft,vaak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
18,ohne,zonder,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
19,der Schüler,de leerling,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
20,die Schülerin,de leerlinge,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
21,schwierig,moeilijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
22,weil,omdat,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
23,wenn,als,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
24,zum Beispiel,bijvoorbeeld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
25,de broer,der Bruder,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
26,het kleinkind,der Enkel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
27,"het gezin, de familie",die Familie,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
28,de grootouders,die Großeltern,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
29,de moeder,die Mutter,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
