"die Absicht","de bedoeling"
"bestätigen","bevestigen"
"das Ergebnis","het resultaat"
"die Erziehung","de opvoeding"
"das Fazit","de conclusie"
"fehlen","ontbreken"
"der Flur","de gang"
"die Gedenkstätte","de gedenkplaats"
"die Gesamtschule","de scholengemeenschap"
"sich kümmern um","zorgen voor"
"die Laune","het humeur"
"lösen","oplossen"
"die Oberstufe","de bovenbouw"
"der Reiz","de aantrekkingskracht"
"schlechthin","gewoonweg"
"der Seitensprung","het vreemdgaan"
"die Umwelt","het milieu"
"die Vernunft","het verstand"
